,Unnamed: 0,filename,label,x_perplexity,c_perplexity,x_perplexity_label,top 5 c_perplexity class,top 5 x_perplexity class
0,0,23933.jpg,forest,0.6666666666666666,2.302776216391344,0.6-0.7,"[('buildings', 0.32242025062441826), ('street', 0.2749606147408485), ('forest', 0.18499809030618053), ('glacier', 0.17030608467757702), ('mountain', 0.131304822396487)]","[('buildings', 1), ('forest', 1), ('mountain', 1)]"
1,1,23728.jpg,forest,1.0,1.919478302802016,1,"[('forest', 0.18104684632271528), ('street', 0.1581270779715851), ('buildings', 0.15556681784801185), ('mountain', 0.15305427263956514), ('Unnamed: 0', 0.14968095653694036)]","[('street', 2), ('mountain', 1)]"
2,2,24047.jpg,forest,1.0,2.372942431567392,1,"[('mountain', 0.37585020065307617), ('buildings', 0.2826141023542732), ('glacier', 0.181778701255098), ('street', 0.17316161608323455), ('forest', 0.1461513576687139)]","[('glacier', 2), ('street', 1)]"
3,3,23700.jpg,forest,1.0,1.824423473892129,1,"[('buildings', 0.2299427051912062), ('mountain', 0.18122625607065854), ('street', 0.17728074570186436), ('forest', 0.09872521535726264), ('glacier', 0.09862719773809657)]","[('sea', 2), ('mountain', 1)]"
4,4,24251.jpg,forest,1.0,1.9076735318537232,1,"[('street', 0.25781214982271194), ('mountain', 0.20157001167535785), ('buildings', 0.18494897987693548), ('Unnamed: 0', 0.10913138434989378), ('forest', 0.09163986780913548)]","[('mountain', 1), ('sea', 1), ('glacier', 1)]"
5,5,20779.jpg,forest,0.6666666666666666,2.41570754030587,0.6-0.7,"[('street', 0.3526858717305004), ('Unnamed: 0', 0.26144725260019186), ('mountain', 0.2564031791371235), ('buildings', 0.19370387448725526), ('forest', 0.11381146754138173)]","[('mountain', 1), ('forest', 1), ('buildings', 1)]"
6,6,23502.jpg,forest,1.0,1.9007002003823843,1,"[('buildings', 0.19615949564467886), ('street', 0.1710719176035127), ('mountain', 0.15017058048397305), ('glacier', 0.14052497735247016), ('Unnamed: 0', 0.13943328003733768)]","[('mountain', 2), ('street', 1)]"
7,7,20816.jpg,forest,0.6666666666666666,1.8272069111117968,0.6-0.7,"[('street', 0.22179454751312733), ('glacier', 0.17787187583599007), ('forest', 0.17493418158846907), ('Unnamed: 0', 0.1635675837751478), ('buildings', 0.10700984578579664)]","[('buildings', 1), ('forest', 1), ('glacier', 1)]"
8,8,22973.jpg,forest,0.6666666666666666,1.8056635145256088,0.6-0.7,"[('forest', 0.17879516165703535), ('glacier', 0.1704093220178038), ('buildings', 0.16165750934123935), ('street', 0.1377690374119993), ('mountain', 0.1187166263398467)]","[('buildings', 1), ('street', 1), ('forest', 1)]"
9,9,23462.jpg,forest,0.6666666666666666,2.1660364683232056,0.6-0.7,"[('street', 0.23485293676867516), ('mountain', 0.2094560049881693), ('buildings', 0.18620562189062184), ('Unnamed: 0', 0.17037363173540146), ('forest', 0.1697295568883419)]","[('mountain', 1), ('street', 1), ('forest', 1)]"
10,10,23476.jpg,forest,0.6666666666666666,1.8763309799804249,0.6-0.7,"[('buildings', 0.20022733975201845), ('street', 0.19951681979000568), ('mountain', 0.1646272159414366), ('forest', 0.12836569821229205), ('glacier', 0.11884775734506547)]","[('mountain', 2), ('forest', 1)]"
11,11,20619.jpg,forest,0.6666666666666666,2.096619986066242,0.6-0.7,"[('buildings', 0.2977028418099508), ('street', 0.2600206998176873), ('forest', 0.18721107157034567), ('glacier', 0.17741995400137964), ('mountain', 0.09099862376751844)]","[('buildings', 1), ('forest', 1), ('mountain', 1)]"
12,12,22595.jpg,forest,1.0,2.2424282298059657,1,"[('forest', 0.2805486914876383), ('buildings', 0.2254985246108845), ('glacier', 0.20732648757984865), ('street', 0.1923049185425043), ('mountain', 0.16475814193836413)]","[('mountain', 2), ('street', 1)]"
13,13,23853.jpg,forest,1.0,2.4482782940375563,1,"[('buildings', 0.4021380916237831), ('street', 0.3443794324994087), ('mountain', 0.2012863841373473), ('forest', 0.12501199159305545), ('Unnamed: 0', 0.12151626544073225)]","[('mountain', 2), ('sea', 1)]"
14,14,22542.jpg,forest,1.0,2.9144883068931318,1,"[('street', 0.3302743788808584), ('buildings', 0.3180092549882829), ('glacier', 0.30697986582526937), ('forest', 0.3055964244704228), ('mountain', 0.14947103001759388)]","[('mountain', 1), ('buildings', 1), ('glacier', 1)]"
15,15,23648.jpg,forest,1.0,2.1290915333894,1,"[('buildings', 0.2825560919009149), ('street', 0.22688722237944606), ('forest', 0.1751916944340337), ('mountain', 0.17189017112832514), ('glacier', 0.12749921876820736)]","[('mountain', 2), ('street', 1)]"
16,16,23107.jpg,forest,1.0,2.5194412859772446,1,"[('mountain', 0.2559035364538431), ('forest', 0.25427420996129513), ('glacier', 0.253126977942884), ('street', 0.23629861883819106), ('buildings', 0.1931686252355576)]","[('mountain', 2), ('buildings', 1)]"
17,17,23852.jpg,forest,0.6666666666666666,1.8557016675906075,0.6-0.7,"[('buildings', 0.16875720376265235), ('forest', 0.167853417864535), ('street', 0.16645212967705447), ('mountain', 0.1576936588026001), ('glacier', 0.1322565490117995)]","[('glacier', 1), ('forest', 1), ('street', 1)]"
18,18,23477.jpg,forest,0.6666666666666666,1.9800291082243342,0.6-0.7,"[('glacier', 0.21882778545841572), ('mountain', 0.17282053991220891), ('buildings', 0.17277698405086994), ('street', 0.1687200355445384), ('forest', 0.1627612707670778)]","[('glacier', 1), ('buildings', 1), ('forest', 1)]"
19,19,23463.jpg,forest,1.0,1.907009998396285,1,"[('buildings', 0.2175886700861156), ('street', 0.1564915004419163), ('glacier', 0.1525813753833063), ('Unnamed: 0', 0.13983316945723345), ('mountain', 0.13356485438998789)]","[('glacier', 1), ('mountain', 1), ('sea', 1)]"
20,20,24324.jpg,forest,1.0,2.1345161891160287,1,"[('mountain', 0.24321118369698524), ('street', 0.22028186544775966), ('buildings', 0.21625295374542475), ('forest', 0.1649143248796463), ('glacier', 0.15611847676336765)]","[('glacier', 1), ('sea', 1), ('mountain', 1)]"
21,21,23503.jpg,forest,1.0,2.7509713011338826,1,"[('glacier', 0.48660132288932795), ('forest', 0.4463405013084412), ('mountain', 0.22087394980189856), ('street', 0.1073867696977686), ('buildings', 0.10458493721671402)]","[('buildings', 3)]"
22,22,23259.jpg,forest,1.0,2.6767161874000354,1,"[('buildings', 0.5001266747713089), ('mountain', 0.31115160731133074), ('street', 0.30238840728998184), ('forest', 0.11534458061214535), ('glacier', 0.10820974339731038)]","[('glacier', 1), ('sea', 1), ('mountain', 1)]"
23,23,23067.jpg,forest,0.6666666666666666,1.83548976959995,0.6-0.7,"[('buildings', 0.15644949741545133), ('glacier', 0.1556022558506811), ('mountain', 0.1444976861239411), ('street', 0.14399680618953425), ('forest', 0.14331072568893433)]","[('glacier', 1), ('forest', 1), ('street', 1)]"
24,24,21894.jpg,forest,1.0,2.191406817663764,1,"[('street', 0.3272916213609278), ('buildings', 0.2843320937827229), ('mountain', 0.147983448652667), ('glacier', 0.13744286698056385), ('forest', 0.13265022193081674)]","[('glacier', 2), ('sea', 1)]"
25,25,21843.jpg,forest,1.0,1.4700413818229692,1,"[('forest', 0.19850447535282), ('glacier', 0.18265934110240775), ('Unnamed: 0', 0.10970079795824716), ('buildings', 0.03305606916808301), ('mountain', 0.016909826939809136)]","[('street', 2), ('buildings', 1)]"
26,26,21855.jpg,forest,1.0,1.7539493132301,1,"[('glacier', 0.17877376917749646), ('forest', 0.16457261797040698), ('Unnamed: 0', 0.14945823440211825), ('buildings', 0.11799517163308335), ('street', 0.10429492685943842)]","[('street', 2), ('glacier', 1)]"
27,27,21699.jpg,forest,1.0,2.312686102102377,1,"[('street', 0.32139990908035543), ('buildings', 0.3157116898619279), ('mountain', 0.16435543209081516), ('forest', 0.15279479557648298), ('glacier', 0.1361619152885396)]","[('sea', 1), ('mountain', 1), ('buildings', 1)]"
28,28,23930.jpg,forest,0.6666666666666666,1.9016795895510656,0.6-0.7,"[('street', 0.1801651681671501), ('mountain', 0.1687542593190301), ('buildings', 0.16338415477366652), ('Unnamed: 0', 0.1610459056792024), ('forest', 0.13028827716880187)]","[('mountain', 1), ('sea', 1), ('forest', 1)]"
29,29,20544.jpg,forest,0.3333333333333333,1.7925085391402944,0.3-0.4,"[('forest', 0.176488169177901), ('buildings', 0.1689366054488346), ('glacier', 0.1632437796506565), ('mountain', 0.1481655512470752), ('street', 0.11728694662451745)]","[('forest', 2), ('buildings', 1)]"
30,30,23065.jpg,forest,1.0,2.201068160809962,1,"[('forest', 0.26495899911969895), ('glacier', 0.2598534971475601), ('street', 0.18287395115476104), ('mountain', 0.1691789195756428), ('buildings', 0.16809947916772214)]","[('mountain', 1), ('street', 1), ('sea', 1)]"
31,31,23717.jpg,forest,1.0,1.6789187772471286,1,"[('buildings', 0.2562655843794346), ('forest', 0.16602986864745614), ('glacier', 0.14949820726178584), ('street', 0.08357191365212202), ('mountain', 0.07641089963726701)]","[('buildings', 1), ('mountain', 1), ('sea', 1)]"
32,32,20785.jpg,forest,0.6666666666666666,2.120727100176038,0.6-0.7,"[('Unnamed: 0', 0.25116722082020715), ('glacier', 0.21583974483655768), ('street', 0.18696575984358788), ('forest', 0.1780506389332004), ('mountain', 0.15622437559068206)]","[('street', 1), ('glacier', 1), ('forest', 1)]"
33,33,22179.jpg,forest,1.0,2.3240265169903567,1,"[('street', 0.3165831837104633), ('buildings', 0.3150971755385399), ('forest', 0.1829544403590262), ('mountain', 0.15917821519542485), ('glacier', 0.14023075974546373)]","[('glacier', 2), ('street', 1)]"
