,forest,buildings,glacier,street,mountain,sea
23933.jpg,0.11938435328920605,0.18499809030618053,0.32242025062441826,0.17030608467757702,0.27496061474084854,0.131304822396487
23728.jpg,0.14968095653694036,0.18104684632271528,0.15556681784801185,0.14323827996850014,0.1581270779715851,0.15305427263956517
24047.jpg,0.08712122815950352,0.1461513576687139,0.2826141023542732,0.18177870125509799,0.17316161608323455,0.37585020065307617
23700.jpg,0.08163853404403199,0.09872521535726264,0.2299427051912062,0.09862719773809658,0.17728074570186436,0.18122625607065856
24251.jpg,0.10913138434989378,0.09163986780913547,0.18494897987693548,0.08671196544310078,0.25781214982271194,0.20157001167535782
20779.jpg,0.26144725260019186,0.11381146754138172,0.19370387448725523,0.09439418092370033,0.35268587173050037,0.2564031791371235
23502.jpg,0.13943328003733768,0.12917080987244844,0.19615949564467883,0.14052497735247016,0.1710719176035127,0.15017058048397303
20816.jpg,0.1635675837751478,0.17493418158846907,0.10700984578579664,0.17787187583599007,0.22179454751312733,0.02446199068799615
22973.jpg,0.08518143782083598,0.17879516165703535,0.16165750934123935,0.1704093220178038,0.1377690374119993,0.1187166263398467
23462.jpg,0.17037363173540143,0.1697295568883419,0.18620562189062184,0.1444398951716721,0.23485293676867514,0.2094560049881693
23476.jpg,0.09632949699880555,0.12836569821229205,0.20022733975201845,0.11884775734506547,0.19951681979000568,0.1646272159414366
20619.jpg,0.05471225149813108,0.18721107157034567,0.29770284180995077,0.17741995400137966,0.2600206998176873,0.09099862376751844
22595.jpg,0.09462503796567034,0.2805486914876383,0.2254985246108845,0.20732648757984862,0.1923049185425043,0.16475814193836413
23853.jpg,0.12151626544073224,0.12501199159305543,0.4021380916237831,0.09743542515207082,0.3443794324994087,0.20128638413734734
22542.jpg,0.13291169339208864,0.3055964244704228,0.3180092549882829,0.30697986582526937,0.3302743788808584,0.14947103001759388
23648.jpg,0.10621364656253718,0.1751916944340337,0.2825560919009149,0.12749921876820736,0.22688722237944603,0.17189017112832516
23107.jpg,0.14033185224980116,0.25427420996129513,0.19316862523555756,0.25312697794288397,0.23629861883819103,0.2559035364538431
23852.jpg,0.0989518463092054,0.167853417864535,0.16875720376265235,0.1322565490117995,0.16645212967705447,0.1576936588026001
23477.jpg,0.08961502170132007,0.1627612707670778,0.17277698405086994,0.21882778545841575,0.1687200355445384,0.17282053991220891
23463.jpg,0.13983316945723345,0.13125291804317385,0.2175886700861156,0.1525813753833063,0.1564915004419163,0.13356485438998789
24324.jpg,0.09313025248411577,0.1649143248796463,0.21625295374542475,0.15611847676336765,0.22028186544775963,0.24321118369698524
23503.jpg,0.09415363974039792,0.44634050130844116,0.10458493721671402,0.486601322889328,0.10738676969776861,0.22087394980189856
23259.jpg,0.08324320940300822,0.11534458061214536,0.5001266747713089,0.10820974339731038,0.30238840728998184,0.31115160731133074
23067.jpg,0.13230811832181644,0.14331072568893433,0.15644949741545133,0.1556022558506811,0.14399680618953425,0.1444976861239411
21894.jpg,0.10215713232173584,0.13265022193081677,0.28433209378272295,0.13744286698056385,0.3272916213609278,0.147983448652667
21843.jpg,0.10970079795824716,0.19850447535282,0.03305606916808301,0.18265934110240778,0.01502626493521575,0.016909826939809136
21855.jpg,0.14945823440211825,0.164572617970407,0.11799517163308337,0.17877376917749643,0.10429492685943842,0.09551230515353382
21699.jpg,0.11914579141739523,0.152794795576483,0.3157116898619279,0.1361619152885396,0.32139990908035543,0.16435543209081516
23930.jpg,0.1610459056792024,0.13028827716880187,0.16338415477366652,0.12363645685400115,0.1801651681671501,0.1687542593190301
20544.jpg,0.06785899330861866,0.176488169177901,0.1689366054488346,0.1632437796506565,0.11728694662451744,0.1481655512470752
23065.jpg,0.09323910082093789,0.264958999119699,0.16809947916772217,0.2598534971475601,0.18287395115476102,0.1691789195756428
23717.jpg,0.01575601103832014,0.16602986864745617,0.2562655843794346,0.14949820726178586,0.08357191365212202,0.076410899637267
20785.jpg,0.25116722082020715,0.1780506389332004,0.09631130285561085,0.21583974483655766,0.18696575984358788,0.15622437559068203
22179.jpg,0.10258280589914648,0.1829544403590262,0.3150971755385399,0.14023075974546373,0.31658318371046335,0.15917821519542485
21316.jpg,0.1270605766076187,0.14926129589093762,0.21211161682731472,0.1669306751646218,0.27803344943095,0.13379158846873906
20801.jpg,0.019863056862959638,0.11230141716077924,0.20153067994397134,0.16962507972493768,0.12868149710993748,0.10141294430650305
21538.jpg,0.15463452096446417,0.09474420882179402,0.35168956220149994,0.10148844224750064,0.43884896486997604,0.17395748841227032
23688.jpg,0.0717649250109389,0.1529498944291845,0.17053804348688573,0.2170907295658253,0.17079883032420184,0.17166197803453542
21921.jpg,0.14009837694175076,0.18275216598703992,0.11022351309657097,0.1799646955623757,0.13452206552028656,0.053119174437597394
24130.jpg,0.13442691904492676,0.09072943401406519,0.21145665436051786,0.09778695274144411,0.3403161563910544,0.2844972456805408
22569.jpg,0.14178499704394198,0.15435118257300928,0.17925507621839643,0.19636108877602965,0.1381058837287128,0.1418836209923029
23663.jpg,0.2479119768831879,0.19015602418221533,0.24292204156517982,0.1721477926184889,0.17917611077427864,0.2103503979742527
23110.jpg,0.09539903735276312,0.12312080356059596,0.1573167405440472,0.10590264302663854,0.17488843807950616,0.17313765140715986
22540.jpg,0.10629046242684126,0.10949856098159216,0.1717135546496138,0.08531669375224737,0.17261185101233423,0.1743199599441141
23879.jpg,0.12150585721246898,0.2594101205468178,0.18869180651381612,0.21955889905802906,0.1965764428023249,0.23789766244590282
